Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
baseline,PPG,tiny,0.5,1.0,low,edge,3.231719526690949,1.0,100.470153403716,3.3465141076280287,0.5,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.1709122526053424,3.231719526690949,1.0,156.1967025066357,100.470153403716,3.296514107628029,3.3465141076280287,2.9859614008403033,336.2247857610878,324.69135660442413,278.92727149957466,20.335948354531432,0.0,0.2623453482515856,0.6293795402069269,0.11903882586403086,0.2704488787883884,L2_Edge
baseline,PPG,tiny,0.5,1.0,high,edge,3.888920340602128,0.9407,99.21990300079622,3.3569269841268032,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.2765907164421435,3.888920340602128,0.9225,153.96411250142182,99.21990300079622,3.3069269841268034,3.3569269841268032,3.02358691075915,333.07396974581684,385.8582989723665,335.6497773784318,20.335948354531432,0.0,0.2911266497039299,0.7115507784465839,0.12049968784214045,0.35618504403830753,L2_Edge
baseline,PPG,tiny,1.0,1.0,low,edge,2.28297519316638,1.0,136.56121148189703,3.269581327425945,1.0,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.168826433508061,2.28297519316638,1.0,162.58054142354874,136.56121148189703,3.2195813274259453,3.269581327425945,2.196817066460844,446.4979871118761,311.7658581619188,197.04186463951416,15.058423985105595,0.0,0.30153849879129857,0.46330751192437136,0.10824563404227891,0.14667894540242596,L2_Edge
baseline,PPG,tiny,1.0,1.0,high,edge,2.626755277228157,0.9407,135.7673973722098,3.323497204117125,1.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.174655785069062,2.626755277228157,0.9225,161.5360491739603,135.7673973722098,3.2734972041171253,3.323497204117125,2.209661566815944,451.22256557679805,356.62772752298434,226.71326404509009,15.058423985105595,0.0,0.33093101807426006,0.5080295590138838,0.11580969708325127,0.1915273166656045,L2_Edge
baseline,PPG,tiny,2.0,1.0,low,edge,1.6661915995919778,1.0,206.15464522758467,3.4529056785673844,2.0,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.238533219772342,1.666191599591978,1.0,166.51262519619368,206.15464522758467,3.4029056785673846,3.4529056785673844,1.4552182400198388,711.8325451693717,343.49313809506606,143.8077385216561,15.470378391463324,0.0,0.37102349045497673,0.4027326610893548,0.13396490328317107,0.06621547216442601,L2_Edge
baseline,PPG,tiny,2.0,1.0,high,edge,1.923957744775632,0.9407,204.9964018063544,3.289581986078281,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.2525863000346233,1.9239577447756324,0.9225,165.51413948823657,204.9964018063544,3.239581986078281,3.289581986078281,1.4634403206910371,674.3524705930487,394.404414906473,166.05533982716244,15.470378391463324,0.0,0.40011855317438355,0.43859938442641144,0.11105160238020981,0.09984275982370037,L2_Edge
baseline,PPG,base,0.5,1.0,low,edge,2.8727028277677777,1.0,115.13192367516368,3.5517659551421232,0.5,0.0,1.0,20.0,1.0,0.5,1.0,1.05,1.0,0.1,0.6,0.02,0.0,1.0,2.132873032340785,2.872702827767778,1.0,145.90274810737668,115.13192367516369,3.4217659551421233,3.5517659551421232,2.605706483689338,408.9216468594678,330.73980270798677,247.94081137320345,22.99351873984017,0.0,0.27873316601491543,0.6188456402793759,0.147834386822175,0.22361279098263365,L2_Edge
baseline,PPG,base,0.5,1.0,high,edge,3.5332382908104805,0.9407,114.27866932047348,3.4306964862044413,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,2.2860963771059355,3.533238290810481,0.9225,144.6838133149621,114.27866932047347,3.3006964862044414,3.4306964862044413,2.6251618240207653,392.0554292858676,403.7737702659658,304.9511283000127,22.99351873984017,0.0,0.30801967196703284,0.7029954257336483,0.13084909136593917,0.30978398312682787,L2_Edge
baseline,PPG,base,1.0,1.0,low,edge,1.9707430738344889,1.0,150.51743114249302,3.51734597783078,1.0,0.0,1.0,20.0,1.0,0.5,1.0,1.05,1.0,0.1,0.6,0.02,0.0,1.0,2.0692802275262134,1.9707430738344889,1.0,152.79714571388112,150.51743114249302,3.38734597783078,3.51734597783078,1.9931246349533673,529.4218810224693,296.63118491542775,170.09334624226696,20.406001796832783,0.0,0.31590214230439123,0.4845489106601407,0.143005477524398,0.10594621346915505,L2_Edge
baseline,PPG,base,1.0,1.0,high,edge,2.3728929408921124,0.9407,153.1690049555449,3.527854738641221,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,2.171274586437227,2.3728929408921124,0.9225,155.74333883949433,153.1690049555449,3.3978547386412212,3.527854738641221,1.9586208063901094,540.3579999453797,363.45365062248146,204.80259753275698,20.406001796832783,0.0,0.3488176980567974,0.5388024261076227,0.1444797914766309,0.15840930652604415,L2_Edge
baseline,PPG,base,2.0,1.0,low,edge,1.4198874981049698,1.0,217.5868333991144,3.3796166128735097,2.0,0.0,1.0,20.0,1.0,0.5,1.0,1.05,1.0,0.1,0.6,0.02,0.0,1.0,2.1084253647072537,1.41988749810497,1.0,157.37448723008802,217.5868333991144,3.24961661287351,3.3796166128735097,1.3787598969727966,735.3600768981877,308.9488244956515,122.54941755056913,18.4944870814711,0.0,0.38208370198812835,0.40339160586234135,0.12368290200370155,0.03408348343308374,L2_Edge
baseline,PPG,base,2.0,1.0,high,edge,1.6824884080134173,0.9407,222.27984574025908,3.4050247870786685,2.0,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,2.1772268596126336,1.682488408013417,0.9225,160.98449672327624,222.27984574025908,3.2750247870786686,3.4050247870786685,1.3496500278777381,756.868384413605,373.9832637929964,145.2143037478772,18.4944870814711,0.0,0.41682557252122737,0.4417104363918237,0.12724751122900732,0.06834149792442393,L2_Edge
baseline,PPG,large,0.5,1.0,low,edge,2.437797251554142,1.0,142.51072744999405,3.532018752729447,0.5,0.0,1.0,20.0,1.0,0.5,1.0,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.8961612645050483,2.437797251554142,1.0,154.17943744046912,142.51072744999405,3.302018752729447,3.532018752729447,2.105104684875514,503.35056181849416,347.41225969457696,210.4044395651494,19.311532252709384,0.0,0.30769978605003945,0.531981405406861,0.14506397682239178,0.16687650039824156,L2_Edge
