Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
baseline,PPG,tiny,0.5,1.0,high,edge,3.888920340602128,0.9407,99.21990300079622,3.3569269841268032,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.2765907164421435,3.888920340602128,0.9225,153.96411250142182,99.21990300079622,3.3069269841268034,3.3569269841268032,3.02358691075915,333.07396974581684,385.8582989723665,335.6497773784318,20.335948354531432,0.0,0.2911266497039299,0.7115507784465839,0.12049968784214045,0.35618504403830753,L2_Edge
baseline,PPG,base,0.5,1.0,high,edge,3.5332382908104805,0.9407,114.27866932047348,3.4306964862044413,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,2.2860963771059355,3.533238290810481,0.9225,144.6838133149621,114.27866932047347,3.3006964862044414,3.4306964862044413,2.6251618240207653,392.0554292858676,403.7737702659658,304.9511283000127,22.99351873984017,0.0,0.30801967196703284,0.7029954257336483,0.13084909136593917,0.30978398312682787,L2_Edge
baseline,ECG,tiny,2.0,1.0,high,edge,1.3231013159408866,0.971375,294.9094926620268,3.1322792057996307,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.5490984175402411,1.3231013159408866,0.9225,243.02542470864384,294.9094926620268,3.082279205799631,3.1322792057996307,1.017261252908556,923.7388714581854,390.19513782458694,156.9651960438129,16.784191385188162,0.0,0.48589476233148277,0.38480850016382917,0.0889829981105777,0.08610299185189645,L1_Device
baseline,NIRS,base,0.5,1.0,high,edge,2.0052327671865777,0.9867125,178.94694435766752,3.8999184383156575,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.297437361143224,2.0052327671865777,0.9225,237.06706336809643,178.94694435766752,3.7699184383156576,3.8999184383156575,1.676474561087668,697.8784877807136,358.83027641390817,290.28566097904263,14.520233265226423,0.0,0.37461365021999404,0.4325560657483375,0.19667802050135214,0.28761710403331,L2_Edge
baseline,NIRS,base,1.0,1.0,high,edge,1.3921563296840058,0.9867125,246.8918286816509,3.9027759088532425,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.2738685369657572,1.392156329684006,0.9225,259.8798096462788,246.8918286816509,3.7727759088532427,3.9027759088532425,1.2151070434446343,963.5634810714691,343.7120220464195,201.5342193492482,8.293119305490947,0.0,0.44040204831619034,0.2935654159800786,0.1970789058918989,0.15346914727710328,L1_Device
baseline,NIRS,large,0.5,1.0,high,edge,1.7073162851629642,0.9867125,236.69841798865227,3.957032527632061,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.1572814075432272,1.7073162851629642,0.9225,266.30764046268126,236.69841798865227,3.727032527632061,3.957032527632061,1.2674355939902502,936.6233392201468,404.1190637043363,247.1580578818162,16.10894563123435,0.0,0.4306640078449968,0.4225230609403556,0.2046907729340261,0.2224296577333577,L1_Device
baseline,uUS,base,0.5,1.0,low,edge,2.595291208410999,1.0,220.4987865783665,3.843261192822327,0.5,0.0,1.0,20.0,1.0,0.5,1.0,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.9269054132523094,2.595291208410999,1.0,296.42683796909495,220.4987865783665,3.713261192822327,3.843261192822327,1.3605517048656335,847.4344295210485,572.2585622721277,259.39159387619014,7.564398481103773,0.0,0.38489101623255717,0.4517893623951107,0.18872936042309535,0.2409206684416034,L2_Edge
baseline,uUS,base,0.5,1.0,high,edge,2.79160937716026,0.9816,219.92663697839043,3.663432950652188,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.806243326418016,2.7916093771602606,0.9225,295.6094813977006,219.92663697839046,3.533432950652188,3.663432950652188,1.3640912447975886,805.6864886327576,613.9492620761953,279.01300766347157,7.564398481103773,0.0,0.4145590574407943,0.4794999683405975,0.16350057358330544,0.27057846914766237,L2_Edge
baseline,uUS,large,0.5,1.0,low,edge,2.0865706392631305,1.0,290.2871516089219,3.981217294867,0.5,0.0,1.0,20.0,1.0,0.5,1.0,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.62297107329248,2.0865706392631305,1.0,330.1037519153832,290.2871516089219,3.751217294867,3.981217294867,1.0334594498490357,1155.6962284631186,605.7046475025014,208.54649455122413,7.334704206847675,0.0,0.45131837479467163,0.39659188006008683,0.20808374575062594,0.1640682133123472,L1_Device
baseline,uUS,large,0.5,1.0,high,edge,2.2396144237200115,0.9816,292.91511412161645,3.8119884592922846,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.5180925497875246,2.239614423720012,0.9225,333.2322787162101,292.91511412161645,3.5819884592922846,3.8119884592922846,1.0241875053106408,1116.5890345838843,656.0169145123656,223.84276306030617,7.334704206847675,0.0,0.4840153355468585,0.42060103512127583,0.1843419899043949,0.18718854948724495,L1_Device
