Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
baseline,PPG,tiny,0.5,0.25,high,edge+cloud,4.740514903980691,0.2351749999999999,25.64837044458966,4.967909046844494,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.2903225806451613,3.072451895997912,4.74051490398069,0.230625,73.85909748665493,25.64837044458966,4.391310741250692,4.967909046844493,11.696649525868137,127.41877156849588,121.58648235539512,409.1502609523485,18.30934532729178,100.0,0.4258606055765174,0.7494756480783954,0.8465104777634274,0.7672811514476099,L3_Connectivity
baseline,PPG,tiny,0.5,0.5,high,edge+cloud,4.422326898104314,0.4703499999999999,52.408806741963744,4.9651594940431805,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.1764705882352942,3.143602615195311,4.422326898104314,0.46125,115.06220946558757,52.408806741963744,4.498723327660171,4.96515949404318,5.724228782331537,260.21808436633546,231.76887575253696,381.68769448580133,26.133585589593643,100.0,0.40705274858350804,0.8140275482631949,0.8461247325618284,0.7257714349729643,L3_Connectivity
baseline,PPG,tiny,0.5,1.0,high,edge,3.888920340602128,0.9407,99.21990300079622,3.3569269841268032,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.2765907164421435,3.888920340602128,0.9225,153.96411250142182,99.21990300079622,3.3069269841268034,3.3569269841268032,3.02358691075915,333.07396974581684,385.8582989723665,335.6497773784318,20.335948354531432,0.0,0.2911266497039299,0.7115507784465839,0.12049968784214045,0.35618504403830753,L2_Edge
baseline,PPG,tiny,0.5,1.0,high,edge+cloud,3.7317085359054976,0.9407,107.41722130440397,4.683834394557597,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.0,3.1207974984039537,3.7317085359054984,0.9225,137.83535956847294,107.41722130440397,4.453834394557597,4.683834394557596,2.7928482635930965,503.1244757133723,400.8497616448942,322.0809452538028,25.72099676861781,100.0,0.3004306116583618,0.7547051291743615,0.8066565662607345,0.635675730931264,L3_Connectivity
baseline,PPG,base,0.5,0.25,high,edge+cloud,4.20081174073056,0.2351749999999999,30.2308464922047,5.266029638435138,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,1.1,0.2,0.3,1.2903225806451613,3.009251520232614,4.200811740730561,0.230625,83.54349814402279,30.2308464922047,4.588632221800129,5.266029638435138,9.92363876007765,159.1965336229329,126.99409487667681,362.56888855856647,17.663204023767996,100.0,0.44389657053384535,0.6824574095637337,0.8883349474186245,0.6968733269123059,L3_Connectivity
baseline,PPG,base,0.5,0.5,high,edge+cloud,3.742043771877441,0.4703499999999999,59.4646330185905,4.949355915726251,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,1.1,0.2,0.3,1.1764705882352942,2.9400272517682504,3.742043771877441,0.46125,112.64153459052241,59.4646330185905,4.403672300691667,4.94935591572625,5.045015579364808,294.3116332070514,222.51925963419419,322.9729716645569,17.74986919517989,100.0,0.4188131918455573,0.6447207324096254,0.8439075885590165,0.6370240303862111,L3_Connectivity
baseline,PPG,base,0.5,1.0,high,edge,3.5332382908104805,0.9407,114.27866932047348,3.4306964862044413,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,2.2860963771059355,3.533238290810481,0.9225,144.6838133149621,114.27866932047347,3.3006964862044414,3.4306964862044413,2.6251618240207653,392.0554292858676,403.7737702659658,304.9511283000127,22.99351873984017,0.0,0.30801967196703284,0.7029954257336483,0.13084909136593917,0.30978398312682787,L2_Edge
baseline,NIRS,tiny,0.5,0.25,high,edge+cloud,2.5818971276600577,0.2466781249999999,40.36475528497824,5.660818249775442,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.2903225806451613,1.673395166100931,2.581897127660058,0.230625,159.79419144512838,40.36475528497824,5.035877441651574,5.660818249775441,7.432226403504177,228.4975433649245,104.21764572898647,373.76594206280254,8.08939741904271,100.0,0.47262202643275003,0.3927718006330609,0.9437213405795929,0.7137976925530206,L3_Connectivity
baseline,NIRS,base,1.0,0.25,low,edge+cloud,1.5112240540700683,0.255625,64.38466614374005,5.787367885932316,1.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,1.05,1.0,0.1,1.1,0.2,0.3,1.2903225806451613,2.030980303880294,1.5112240540700683,0.255625,200.52552641459533,64.38466614374005,5.0735980334254105,5.787367885932316,4.659494534463284,372.6177491867548,97.29965618969071,218.77094799256312,8.456066532188222,100.0,0.5065047199601218,0.2754379568807726,0.9614754695013119,0.47952249228424104,L3_Connectivity
baseline,NIRS,base,2.0,0.25,high,edge+cloud,1.201822458658407,0.2466781249999999,97.53454333094966,5.595896298839916,2.0,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,1.1,0.2,0.3,1.2903225806451613,1.7218510535483085,1.201822458658407,0.230625,237.28994619213944,97.53454333094966,4.89548492915341,5.595896298839915,3.0758333381646543,545.7931900347025,117.21920467012686,173.9807131122214,8.872184637194835,100.0,0.5589569047420602,0.24787989894042084,0.9346131935966178,0.41182197518287905,L3_Connectivity
