pareto_index,pick_count,pick_pct,Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
2,138,34.5,baseline,PPG,tiny,0.5,1.0,high,edge,3.888920340602128,0.9407,99.21990300079622,3.3569269841268032,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.2765907164421435,3.888920340602128,0.9225,153.96411250142182,99.21990300079622,3.3069269841268034,3.3569269841268032,3.02358691075915,333.07396974581684,385.8582989723665,335.6497773784318,20.335948354531432,0.0,0.2911266497039299,0.7115507784465839,0.12049968784214045,0.35618504403830753,L2_Edge
20,74,18.5,baseline,uRadar,large,0.5,1.0,low,edge+cloud,0.1570090728248523,1.0,282.0116824839826,5.787916884390462,0.5,0.0,1.0,20.0,1.0,0.5,1.0,1.1,1.4,0.2,1.1,0.2,0.3,1.0,0.17446342587498873,0.15700907282485227,1.0,278.76858288495606,282.0116824839826,5.377916884390462,5.787916884390462,1.063785717519128,1632.260178644405,44.27839279258674,197.80805001369146,8.94974664379995,100.0,0.4435075004618404,0.12137548256674209,0.9615524905793629,0.44783703591402696,L3_Connectivity
60,37,9.25,noisefitstress,PPG,tiny,0.5,1.0,high,edge,4.191622724404753,0.9292,99.28982746311848,3.338280645385628,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.4537939956184056,4.191622724404753,0.9225,154.08897761271157,99.28982746311848,3.2882806453856284,3.338280645385628,3.021457561817558,331.4573093038068,416.18549709663455,361.77579149975486,25.669330449096673,0.0,0.2912072718044111,0.8079331343500037,0.11788372218643137,0.39567455934306767,L2_Edge
6,32,8.0,baseline,PPG,base,0.5,1.0,high,edge,3.5332382908104805,0.9407,114.27866932047348,3.4306964862044413,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,2.2860963771059355,3.533238290810481,0.9225,144.6838133149621,114.27866932047347,3.3006964862044414,3.4306964862044413,2.6251618240207653,392.0554292858676,403.7737702659658,304.9511283000127,22.99351873984017,0.0,0.30801967196703284,0.7029954257336483,0.13084909136593917,0.30978398312682787,L2_Edge
69,31,7.75,noisefitstress,EEG,large,0.5,0.25,high,edge+cloud,1.8988133893239796e-05,0.24745,59.41729998456246,5.981628795377184,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,1.1,0.2,0.3,1.2903225806451613,1.4249871270320268e-05,1.8988133893239796e-05,0.230625,192.40331599818637,59.41729998456246,5.1543058561648225,5.981628795377184,5.049034541757109,355.41223253122314,0.001128223647681667,280.62905285092586,9.214010876264677,100.0,0.5086653830723951,0.10062395561639256,0.9887290700289276,0.5730211242295593,L3_Connectivity
94,26,6.5,noisefitstress,uRadar,large,1.0,1.0,low,edge+cloud,0.1219110198493104,1.0,363.9500528294861,5.532245874295581,1.0,0.0,1.0,20.0,1.0,0.5,1.0,1.1,1.4,0.2,1.1,0.2,0.3,1.0,0.1915744597632021,0.12191101984931041,1.0,301.2446805403314,363.9500528294861,5.122245874295581,5.532245874295581,0.8242889310433834,2013.4611782155832,44.36952211465305,153.5897300563861,4.723830730122747,100.0,0.5203712876802091,0.07129127216956571,0.9256834338786095,0.38100096920304555,L3_Connectivity
112,24,6.0,noisefitstress,uUS,tiny,2.0,1.0,high,edge,1.6365493905373591,0.9696,440.5596710202356,3.598516502973831,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.9160861232346742,1.6365493905373596,0.9225,368.58592329330656,440.5596710202356,3.5485165029738313,3.598516502973831,0.6809520247399597,1585.3612467110397,720.9976611035063,163.56821673530166,10.854784738808032,0.0,0.6218265536721328,0.4000049418998922,0.1543931986731725,0.096083468990251,L1_Device
55,12,3.0,baseline,uUS,large,2.0,1.0,high,edge,1.147512950449466,0.9816,540.644604660002,3.851393384671271,2.0,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.5556524751867893,1.147512950449466,0.9225,366.4198643472236,540.644604660002,3.621393384671271,3.851393384671271,0.5548931727315813,2082.2350538457463,620.396685437984,114.69048723549598,4.479605653541863,0.0,0.7144133638249277,0.26179537465082703,0.1898702564927081,0.022204696737380607,L1_Device
30,7,1.75,baseline,uRadar,large,2.0,1.0,low,edge+cloud,0.0793744606521245,1.0,513.5780885039202,5.478435692397477,2.0,0.0,1.0,20.0,1.0,0.5,1.0,1.1,1.4,0.2,1.1,0.2,0.3,1.0,0.1763966894804464,0.0793744606521245,1.0,319.85820351688193,513.5780885039202,5.068435692397477,5.478435692397477,0.5841370703215079,2813.604530893147,40.76498377774773,100.0,10.22400423498171,100.0,0.6591931118949557,0.12608593483733047,0.9181341991614445,0.3,L3_Connectivity
56,6,1.5,noisefitstress,PPG,tiny,0.5,0.25,high,edge,5.335441106220443,0.2322999999999999,25.059663307502635,3.5810744817009152,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.2903225806451613,2.420627407018332,5.3354411062204425,0.230625,86.14045219644738,25.059663307502635,3.2812320760008515,3.5810744817009152,11.971429796113132,89.74052079051444,133.7043577188937,460.4978921325364,21.598648018379897,0.0,0.4231765881213899,0.8539371010592354,0.1519461912874631,0.5448931843408432,L2_Edge
