Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
baseline,PPG,tiny,0.5,0.25,low,edge,4.062362130701228,0.255625,24.58620359243501,3.5416233201330414,0.5,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,0.95,0.6,0.02,0.6,0.02,0.0,1.2903225806451613,2.4449660754909894,4.062362130701227,0.255625,82.75859708882149,24.58620359243501,3.2445333210539924,3.5416233201330414,12.201965174172225,87.07507199650658,99.87806241161844,350.6194072849846,22.701999951078022,0.0,0.41119529749380745,0.718250561224329,0.14641143804866802,0.3788116654033685,L2_Edge
baseline,PPG,tiny,0.5,0.25,low,edge+cloud,4.006881190041664,0.255625,26.107672392340746,4.810286176359973,0.5,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,0.95,0.6,0.02,1.1,0.2,0.3,1.2903225806451613,3.445106306900516,4.006881190041664,0.255625,76.54115265600434,26.107672392340746,4.244684815218579,4.810286176359972,11.490874999948733,125.58537560581156,104.61034142464018,345.8308892002339,18.30934532729178,100.0,0.41813928644426074,0.6646804330201033,0.8243969668235416,0.6715738120776846,L3_Connectivity
baseline,PPG,tiny,0.5,0.25,high,edge,4.984599579625632,0.2351749999999999,24.96371061282087,3.539988837089902,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.2903225806451613,2.2614546979792562,4.984599579625631,0.230625,85.45507580586334,24.96371061282087,3.243012871711537,3.539988837089902,12.017444227458956,88.37125690172859,124.4341014265628,430.21702495529183,22.701999951078022,0.0,0.42272953380903855,0.8252795845955224,0.14618213021697826,0.49912360149195173,L2_Edge
baseline,PPG,tiny,0.5,0.25,high,edge+cloud,4.740514903980691,0.2351749999999999,25.64837044458966,4.967909046844494,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.2903225806451613,3.072451895997912,4.74051490398069,0.230625,73.85909748665493,25.64837044458966,4.391310741250692,4.967909046844493,11.696649525868137,127.41877156849588,121.58648235539512,409.1502609523485,18.30934532729178,100.0,0.4258606055765174,0.7494756480783954,0.8465104777634274,0.7672811514476099,L3_Connectivity
baseline,PPG,tiny,0.5,0.5,low,edge,3.731159309087464,0.51125,49.82846336607584,3.515606628164734,0.5,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,0.95,0.6,0.02,0.6,0.02,0.0,1.1764705882352942,2.4629478609052247,3.7311593090874635,0.51125,131.5302263074137,49.82846336607584,3.298196788728318,3.515606628164734,6.020655258742049,175.17727608103985,185.9179349458575,322.03354190195756,21.9293682702681,0.0,0.3828805514375667,0.6841935602757457,0.1427614575560383,0.3356040806833732,L2_Edge
baseline,PPG,tiny,0.5,0.5,low,edge+cloud,3.506066110332764,0.51125,52.18853793625771,4.936481622379371,0.5,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,0.95,0.6,0.02,1.1,0.2,0.3,1.1764705882352942,3.306233230285707,3.506066110332764,0.51125,114.41908886498601,52.18853793625771,4.471411068932733,4.936481622379369,5.748388666615177,257.6277584211847,182.97646420612895,302.6059179255518,26.133585589593643,100.0,0.3871661875708202,0.7043956637513681,0.8421014050661362,0.6062391936099466,L3_Connectivity
baseline,PPG,tiny,0.5,0.5,high,edge,4.549378974727643,0.4703499999999999,49.393298654611705,3.486701069083092,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.1764705882352942,2.2637421385604064,4.549378974727644,0.46125,129.9760666236132,49.3932986546117,3.2706676848410403,3.486701069083092,6.073698420058648,172.21966722457506,224.7088343917337,392.65346325942596,21.9293682702681,0.0,0.40156450483668016,0.7814486947549677,0.13870618692804798,0.44234621334534086,L2_Edge
baseline,PPG,tiny,0.5,0.5,high,edge+cloud,4.422326898104314,0.4703499999999999,52.408806741963744,4.9651594940431805,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.1764705882352942,3.143602615195311,4.422326898104314,0.46125,115.06220946558757,52.408806741963744,4.498723327660171,4.96515949404318,5.724228782331537,260.21808436633546,231.76887575253696,381.68769448580133,26.133585589593643,100.0,0.40705274858350804,0.8140275482631949,0.8461247325618284,0.7257714349729643,L3_Connectivity
baseline,PPG,tiny,0.5,1.0,low,edge,3.231719526690949,1.0,100.470153403716,3.3465141076280287,0.5,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.1709122526053424,3.231719526690949,1.0,156.1967025066357,100.470153403716,3.296514107628029,3.3465141076280287,2.9859614008403033,336.2247857610878,324.69135660442413,278.92727149957466,20.335948354531432,0.0,0.2623453482515856,0.6293795402069269,0.11903882586403086,0.2704488787883884,L2_Edge
baseline,PPG,tiny,0.5,1.0,low,edge+cloud,2.9682460621701017,1.0,103.57531153652918,4.624817922177196,0.5,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,1.1,0.2,0.3,1.0,2.848462246930297,2.9682460621701012,1.0,132.22673217011558,103.57531153652918,4.394817922177196,4.624817922177195,2.8964431344644836,479.0169570892266,307.4370106063442,256.1870757726922,25.72099676861781,100.0,0.2658862094130521,0.6562269056416064,0.7983769212853207,0.536077033813496,L3_Connectivity
