Scenario,Modality,Model,fs_factor,duty,motion,network,Error,Coverage,Energy_mWh_day,Latency_p95_s
Baseline,PPG,tiny,0.5,0.25,low,edge,4.062362130701228,0.255625,24.586203592435012,3.5416233201330414
Baseline,PPG,tiny,0.5,0.25,low,edge+cloud,4.006881190041664,0.255625,26.107672392340746,4.810286176359973
Baseline,PPG,tiny,0.5,0.25,high,edge,4.984599579625632,0.23517499999999997,24.96371061282087,3.539988837089902
Baseline,PPG,tiny,0.5,0.25,high,edge+cloud,4.740514903980691,0.23517499999999997,25.64837044458966,4.967909046844494
Baseline,PPG,tiny,0.5,0.5,low,edge,3.731159309087464,0.51125,49.828463366075844,3.515606628164734
Baseline,PPG,tiny,0.5,0.5,low,edge+cloud,3.506066110332764,0.51125,52.18853793625771,4.936481622379371
Baseline,PPG,tiny,0.5,0.5,high,edge,4.549378974727643,0.47034999999999993,49.393298654611705,3.486701069083092
Baseline,PPG,tiny,0.5,0.5,high,edge+cloud,4.422326898104314,0.47034999999999993,52.408806741963744,4.9651594940431805
Baseline,PPG,tiny,0.5,1.0,low,edge,3.2317195266909495,1.0,100.47015340371601,3.3465141076280287
Baseline,PPG,tiny,0.5,1.0,low,edge+cloud,2.9682460621701017,1.0,103.57531153652918,4.624817922177196
Baseline,PPG,tiny,0.5,1.0,high,edge,3.888920340602128,0.9406999999999999,99.21990300079622,3.3569269841268032
Baseline,PPG,tiny,0.5,1.0,high,edge+cloud,3.7317085359054976,0.9406999999999999,107.41722130440395,4.683834394557597
Baseline,PPG,tiny,1.0,0.25,low,edge,2.7887278049385418,0.255625,33.940900518687336,3.5166485047789
Baseline,PPG,tiny,1.0,0.25,low,edge+cloud,2.8838865872374355,0.255625,34.654157738926365,4.96134928924012
Baseline,PPG,tiny,1.0,0.25,high,edge,3.5521832919668,0.23517499999999997,33.775755300596614,3.5856458129292097
Baseline,PPG,tiny,1.0,0.25,high,edge+cloud,3.248974553249318,0.23517499999999997,35.43108030435874,5.055541227809207
Baseline,PPG,tiny,1.0,0.5,low,edge,2.581199186024932,0.51125,67.76406948902812,3.5859430789997213
Baseline,PPG,tiny,1.0,0.5,low,edge+cloud,2.488921206847229,0.51125,70.67880271047903,4.876175791360636
Baseline,PPG,tiny,1.0,0.5,high,edge,3.2479378700814667,0.47034999999999993,67.34953360130808,3.5045777511176683
Baseline,PPG,tiny,1.0,0.5,high,edge+cloud,3.034819361285373,0.47034999999999993,71.03299392990144,4.945327928578579
Baseline,PPG,tiny,1.0,1.0,low,edge,2.2829751931663798,1.0,136.56121148189703,3.2695813274259455
Baseline,PPG,tiny,1.0,1.0,low,edge+cloud,2.1853842132496606,1.0,141.18861924943027,4.733765872110858
Baseline,PPG,tiny,1.0,1.0,high,edge,2.6267552772281575,0.9406999999999999,135.76739737220979,3.323497204117125
Baseline,PPG,tiny,1.0,1.0,high,edge+cloud,2.5774887421134536,0.9406999999999999,138.13502057373418,4.470836648510298
Baseline,PPG,tiny,2.0,0.25,low,edge,2.079978541867558,0.255625,51.373860187666764,3.5729840482377964
Baseline,PPG,tiny,2.0,0.25,low,edge+cloud,1.9306771184125888,0.255625,54.09567272634441,5.0156329403971345
Baseline,PPG,tiny,2.0,0.25,high,edge,2.4271505261308968,0.23517499999999997,52.04075264251916,3.6318501174850875
Baseline,PPG,tiny,2.0,0.25,high,edge+cloud,2.3117468311428033,0.23517499999999997,52.95482966502133,5.033305045406474
Baseline,PPG,tiny,2.0,0.5,low,edge,1.8760873295682716,0.51125,101.84639853258935,3.5675272147698722
Baseline,PPG,tiny,2.0,0.5,low,edge+cloud,1.8022204273891365,0.51125,107.01169446608338,4.964412266900661
